hashtag,unique_tweets_per_hour,retweets_per_hour,views_per_hour
apple,167,125,6161321
avocado,4,4,3750
bacon,4,13,2221
bake,21,0,5238
banana,8,21,950
barbecue,4,0,7462
basil,4,0,46
beans,8,4,7471
beef,8,13,4162
berry,4,0,362
blueberry,4,0,101225
bread,29,9,123196
breakfast,42,0,53925
brownie,4,0,21
brunch,12,0,12246
burrito,4,0,26829
butter,21,75,3717
cake,71,41,9542
calorie,4,0,71
candy,8,9,104338
cashew,4,0,88
cassava,4,0,10829
caviar,8,0,3438
celery,4,0,3833
cheddar,8,0,1600
cheese,12,13,59492
cheesecake,4,0,683
chef,17,8,52425
cherry,33,96,14621
chicken,21,4,4142
chips,8,0,10892
chocolate,17,21,14896
chutney,4,0,9471
citrus,8,9,10342
cod,50,42,23100
coffee,96,33,9856075
cook,12,5,3121
cookbook,4,0,32812
corn,4,13,3954
cranberry,4,0,1579
cream,4,13,296
cuisine,17,0,2583
cupcake,8,9,116021
curry,17,0,5346
custard,4,0,1375
dairy,8,4,6608
dessert,12,0,45904
diet,50,4,37067
diner,4,0,442
dinner,29,0,150117
dish,12,30,4033
dressing,4,0,788
drink,17,8,63883
eat,8,34,1392
elderberry,4,0,100
fast,17,0,19492
fat,21,4,2412
fed,4,0,1383
feed,12,0,376021
fig,8,0,1292788
fire,54,4,600112
fish,12,13,4650
flour,4,0,608
food,258,142,1051992
fruit,4,0,4
garlic,12,9,69017
gastronomy,4,0,562
ginger,8,4,11388
gingerbread,4,4,162
grain,4,0,608
grated,4,0,51296
greens,4,4,3217
guacamole,4,0,3750
ham,17,8,12862
hamburger,4,0,2221
hash,4,0,649942
herbs,8,0,725
honey,21,96,173354
hot,129,233,170579
hunger,25,8,896758
hungry,4,4,7767
ice,54,4,18179
jam,12,46,1604
jelly,8,4,5250
juice,4,0,33
kale,4,17,1567
kebab,4,0,58
kitchen,25,4,37942
knife,25,4,13488
lamb,8,0,35671
lemon,4,0,542
lettuce,4,0,450
lime,4,0,2379
lobster,4,0,854
lunch,21,4,226433
macaroon,4,0,23367
mango,4,0,16375
meat,21,0,25396
melon,8,0,600
menu,4,0,9058
milk,8,13,12854
millet,4,4,5246
minerals,8,21,2142
mints,4,0,267
mochi,4,0,1117
mozzarella,4,0,758
mug,8,0,1175
mushroom,4,0,3104
napkin,4,0,1038
nutmeg,4,0,2092
nutrition,38,8,30392
oatmeal,8,0,596
oats,4,0,58
oil,42,20,55388
olive,8,4,971
orange,12,21,5550
order,8,9,379
oyster,4,0,4133
pan,25,8,88904
papaya,4,0,45721
pastry,12,0,9572796
patty,4,0,3804
pea,4,0,771
pepper,4,0,700
pie,8,9,45892
pineapple,4,0,867
pitcher,4,0,112
pizza,46,12,543433
plate,4,0,7421
pomegranate,4,0,2317
pop,79,4,571200
popcorn,8,4,19198371
pork,4,8,2221
pot,4,0,16042
potato,8,9,1500
protein,4,0,0
pumpkin,33,13,86642
recipe,54,8,732688
restaurant,29,17,11817
ribs,4,0,1946
rice,17,4,2433
rosemary,4,0,242
saffron,4,0,700
salad,4,8,50
salmon,8,9,888
salsa,4,4,1883
salt,8,4,3429
sandwich,8,0,65925
sauce,4,0,33
scallops,4,0,446
seeds,12,0,28142
shrimp,4,0,854
slaw,4,0,12
snack,8,0,554
soda,8,0,9883
soup,12,13,36150
soybeans,4,0,7025
spices,4,0,8
spinach,4,0,696
spoon,442,62,103117
sprinkles,4,0,9162
steak,12,5,14288
sugar,4,4,62
sushi,25,0,94771
sweet,17,21,50612
syrup,4,0,29
taco,4,0,212
tamale,4,0,3679
tea,21,4,15492
toast,4,0,42
tortilla,4,4,4692
tuna,4,0,10138
turkey,54,79,162517
turmeric,4,0,26962
vegetable,4,4,105638
vitamin,4,0,0
wasabi,4,0,1171
water,54,29,35562
wheat,4,0,154138
yam,4,0,204
yeast,4,0,333
yogurt,4,0,4346
almond,4,0,1258
anchovy,4,0,5679
anise,4,0,33
appetite,4,0,962
appetizer,4,0,0
apricot,4,0,825
artichoke,4,0,204
asparagus,4,0,7517
aspic,4,0,2275
ate,4,0,42
bagel,4,0,5921
barley,0,4,0
batter,4,0,6929
beancurd,4,0,1646
beet,0,4,0
biscuit,4,0,6812
bitter,4,0,2742
blackberry,0,4,0
bland,4,0,80783
boil,4,0,29446
bowl,0,4,0
boysenberry,4,0,262
bran,4,0,6562
breadfruit,4,0,129696
brisket,4,0,17
broccoli,4,0,1896
broil,4,0,13021
buckwheat,4,0,7154
buns,0,4,0
cantaloupe,4,0,33
capers,4,0,138
caramel,0,4,0
carbohydrate,0,4,0
carrot,0,8,0
casserole,4,0,54
cater,4,0,34629
cauliflower,4,0,22558
cereal,0,4,0
chard,4,0,1242
chew,4,0,100
chili,0,33,0
chives,0,4,0
chopsticks,4,0,17071
chow,4,0,0
cilantro,4,0,3746
cinnamon,8,0,500
citron,0,4,0
clam,4,0,67
cloves,0,4,0
cobbler,0,4,0
coconut,0,4,0
coleslaw,4,0,1175
comestibles,4,0,67121
cookie,4,4,162
cornflakes,0,4,0
cornmeal,4,0,2546
crab,0,4,0
crackers,0,4,0
crepe,4,0,17250
crisp,4,0,11750
crunch,4,0,1454
crust,4,0,171
cucumber,4,0,4
cupboard,4,0,246
curds,4,0,267
currants,4,0,496
daikon,0,4,0
dates,4,0,4
digest,0,4,0
dill,4,0,139758
dine,4,0,83
dip,4,0,671
dough,0,4,0
doughnut,0,33,0
dragonfruit,4,0,875
dried,0,4,0
dry,4,0,10608
durian,4,0,0
edible,4,0,3733
egg,0,4,0
eggplant,0,4,0
endive,0,4,0
entree,4,0,50
feast,4,0,158
fennel,0,4,0
fillet,4,0,1175
flan,0,4,0
flax,4,0,1292
foodstuffs,0,4,0
fork,4,0,2429
freezer,0,4,0
fried,4,0,6817
fritter,4,0,6758
frosting,4,0,6175
fry,4,0,217
gelatin,4,0,104000
glasses,0,8,0
granola,0,4,0
grape,4,0,38279
grapefruit,4,0,642
gravy,0,4,0
grub,4,0,3821
guava,4,0,0
gyro,4,0,0
halibut,4,0,8946
hazelnut,4,0,17858
honeydew,0,4,0
horseradish,4,0,46483
hummus,4,0,2279
icing,4,0,2833
jackfruit,4,0,18204
jalapeño,0,4,0
jellybeans,0,4,0
jicama,4,0,0
jimmies,4,0,838
jug,4,0,4704
julienne,4,0,8
ketchup,4,0,92
kettle,0,4,0
kiwi,0,4,0
kohlrabi,4,0,17062
kumquat,4,0,438
ladle,0,4,0
lard,0,4,0
lasagna,0,4,0
legumes,4,0,0
lemonade,0,83,0
lentils,4,0,312
licorice,0,4,0
liver,4,0,2121
loaf,4,0,412
lollipop,0,4,0
loquat,0,4,0
lox,0,4,0
lunchmeat,4,0,5250
lychee,4,0,33
macaroni,4,0,3992
maize,0,4,0
margarine,4,0,5600
marionberry,4,0,18454
marmalade,4,0,1688
marshmallow,4,0,5058
mayonnaise,0,4,0
meatball,4,0,112
meatloaf,4,0,316054
meringue,0,4,0
micronutrient,0,4,0
milkshake,0,4,0
mincemeat,0,4,0
mint,0,8,0
molasses,4,0,1038
muffin,4,0,79762
munch,0,4,0
mussels,4,0,658
mustard,0,4,0
mutton,4,0,262
nectar,0,8,0
nectarine,4,0,16379
nibble,0,4,0
noodles,0,4,0
nosh,0,42,0
nourish,0,4,0
nourishment,4,0,22821
nut,0,17,0
nutrient,4,0,262
nutritious,0,4,0
okra,4,0,21
oleo,0,4,0
omelet,4,0,62
omnivore,4,0,29238
onion,4,0,29
oregano,0,4,0
oven,4,0,238
pancake,0,8,0
parsley,4,0,1833
parsnip,4,0,30779
pasta,0,12,0
pate,4,0,4929
peach,0,4,0
peanut,0,4,0
pear,4,0,612
pecan,4,0,6562
pepperoni,0,4,0
persimmon,0,4,0
pickle,4,0,708
picnic,0,4,0
pilaf,0,4,0
platter,4,0,242
plum,0,4,0
poached,4,0,3746
pomelo,4,0,4
popovers,0,4,0
popsicle,4,0,767
preserves,0,4,0
pretzel,0,4,0
provisions,4,0,0
prune,4,0,21575
pudding,0,8,0
pumpernickel,4,0,683
punch,0,8,0
quiche,4,0,242
quinoa,4,0,3746
radish,0,4,0
raisin,0,4,0
raspberry,0,4,0
rations,0,4,0
ravioli,0,4,0
refreshments,4,0,888
refrigerator,4,0,58
relish,4,0,39188
rhubarb,4,0,33
roast,4,0,17
roll,0,4,0
romaine,0,4,0
rye,4,0,12562
sage,0,25,0
salami,4,0,51592
sauerkraut,4,0,17088
sausage,4,0,17
savory,4,0,279
scrambled,4,0,204
seaweed,0,4,0
shallots,4,0,14721
sherbet,4,0,0
slice,4,0,15508
smoked,0,4,0
sole,0,4,0
sorbet,4,0,54
sorghum,4,0,7021
sorrel,0,4,0
sour,0,4,0
soy,0,8,0
spaghetti,4,0,158
spareribs,4,0,2450
spatula,4,0,3267
spicy,0,4,0
spork,4,0,6521
sprouts,4,0,2004
spuds,4,0,262
squash,4,0,338
squid,0,4,0
stew,0,4,0
stomach,0,4,0
stove,0,4,0
straw,4,0,7958
strawberry,0,4,0
strudel,0,4,0
succotash,4,0,12054
suet,0,4,0
sundae,4,0,54
sunflower,0,4,0
supper,0,4,0
sustenance,4,0,4
tangerine,4,0,1304
tapioca,4,0,1354
taro,0,4,0
tarragon,4,0,529
tart,0,4,0
teapot,0,4,0
teriyaki,0,4,0
thyme,4,0,1008
toaster,4,0,746
toffee,4,0,779
tofu,4,0,29
tomatillo,0,4,0
tomato,0,4,0
torte,4,0,183
tuber,8,0,912
turnip,4,0,4108
utensils,4,0,925
vanilla,4,0,5338
veal,4,0,3146
venison,4,0,2942
vinegar,4,0,3600
wafer,4,0,288
waffle,4,0,75
walnut,4,0,9021
watercress,4,0,642
watermelon,4,0,8
whey,4,0,8062
wok,0,4,0
yolk,0,4,0
zucchini,4,0,4488
